task,pair_id,cond_x,cond_y,dimension,verdict
csv-parser,csv-parser::AvsB::csv-parser-20260511-142614_vs_csv-parser-20260511-142614,A,B,test_quality,X
csv-parser,csv-parser::AvsB::csv-parser-20260511-142614_vs_csv-parser-20260511-142614,A,B,design_quality,X
csv-parser,csv-parser::AvsB::csv-parser-20260511-142614_vs_csv-parser-20260511-142614,A,B,spec_adherence,X
csv-parser,csv-parser::AvsB::csv-parser-20260511-142614_vs_csv-parser-20260511-142614,A,B,restraint,X
csv-parser,csv-parser::AvsB::csv-parser-20260511-142614_vs_csv-parser-20260511-151126,A,B,test_quality,X
csv-parser,csv-parser::AvsB::csv-parser-20260511-142614_vs_csv-parser-20260511-151126,A,B,design_quality,X
csv-parser,csv-parser::AvsB::csv-parser-20260511-142614_vs_csv-parser-20260511-151126,A,B,spec_adherence,X
csv-parser,csv-parser::AvsB::csv-parser-20260511-142614_vs_csv-parser-20260511-151126,A,B,restraint,X
csv-parser,csv-parser::AvsB::csv-parser-20260511-142614_vs_csv-parser-20260511-153335,A,B,test_quality,X
csv-parser,csv-parser::AvsB::csv-parser-20260511-142614_vs_csv-parser-20260511-153335,A,B,design_quality,X
csv-parser,csv-parser::AvsB::csv-parser-20260511-142614_vs_csv-parser-20260511-153335,A,B,spec_adherence,X
csv-parser,csv-parser::AvsB::csv-parser-20260511-142614_vs_csv-parser-20260511-153335,A,B,restraint,X
csv-parser,csv-parser::AvsB::csv-parser-20260511-151126_vs_csv-parser-20260511-142614,A,B,test_quality,X
csv-parser,csv-parser::AvsB::csv-parser-20260511-151126_vs_csv-parser-20260511-142614,A,B,design_quality,X
csv-parser,csv-parser::AvsB::csv-parser-20260511-151126_vs_csv-parser-20260511-142614,A,B,spec_adherence,X
csv-parser,csv-parser::AvsB::csv-parser-20260511-151126_vs_csv-parser-20260511-142614,A,B,restraint,Y
csv-parser,csv-parser::AvsB::csv-parser-20260511-151126_vs_csv-parser-20260511-151126,A,B,test_quality,X
csv-parser,csv-parser::AvsB::csv-parser-20260511-151126_vs_csv-parser-20260511-151126,A,B,design_quality,X
csv-parser,csv-parser::AvsB::csv-parser-20260511-151126_vs_csv-parser-20260511-151126,A,B,spec_adherence,X
csv-parser,csv-parser::AvsB::csv-parser-20260511-151126_vs_csv-parser-20260511-151126,A,B,restraint,Y
csv-parser,csv-parser::AvsB::csv-parser-20260511-151126_vs_csv-parser-20260511-153335,A,B,test_quality,X
csv-parser,csv-parser::AvsB::csv-parser-20260511-151126_vs_csv-parser-20260511-153335,A,B,design_quality,X
csv-parser,csv-parser::AvsB::csv-parser-20260511-151126_vs_csv-parser-20260511-153335,A,B,spec_adherence,X
csv-parser,csv-parser::AvsB::csv-parser-20260511-151126_vs_csv-parser-20260511-153335,A,B,restraint,Y
csv-parser,csv-parser::AvsB::csv-parser-20260511-153335_vs_csv-parser-20260511-142614,A,B,test_quality,X
csv-parser,csv-parser::AvsB::csv-parser-20260511-153335_vs_csv-parser-20260511-142614,A,B,design_quality,X
csv-parser,csv-parser::AvsB::csv-parser-20260511-153335_vs_csv-parser-20260511-142614,A,B,spec_adherence,X
csv-parser,csv-parser::AvsB::csv-parser-20260511-153335_vs_csv-parser-20260511-142614,A,B,restraint,Y
csv-parser,csv-parser::AvsB::csv-parser-20260511-153335_vs_csv-parser-20260511-151126,A,B,test_quality,X
csv-parser,csv-parser::AvsB::csv-parser-20260511-153335_vs_csv-parser-20260511-151126,A,B,design_quality,X
csv-parser,csv-parser::AvsB::csv-parser-20260511-153335_vs_csv-parser-20260511-151126,A,B,spec_adherence,X
csv-parser,csv-parser::AvsB::csv-parser-20260511-153335_vs_csv-parser-20260511-151126,A,B,restraint,Y
csv-parser,csv-parser::AvsB::csv-parser-20260511-153335_vs_csv-parser-20260511-153335,A,B,test_quality,X
csv-parser,csv-parser::AvsB::csv-parser-20260511-153335_vs_csv-parser-20260511-153335,A,B,design_quality,X
csv-parser,csv-parser::AvsB::csv-parser-20260511-153335_vs_csv-parser-20260511-153335,A,B,spec_adherence,X
csv-parser,csv-parser::AvsB::csv-parser-20260511-153335_vs_csv-parser-20260511-153335,A,B,restraint,Y
csv-parser,csv-parser::AvsC::csv-parser-20260511-142614_vs_csv-parser-20260511-142614,A,C,test_quality,X
csv-parser,csv-parser::AvsC::csv-parser-20260511-142614_vs_csv-parser-20260511-142614,A,C,design_quality,X
csv-parser,csv-parser::AvsC::csv-parser-20260511-142614_vs_csv-parser-20260511-142614,A,C,spec_adherence,X
csv-parser,csv-parser::AvsC::csv-parser-20260511-142614_vs_csv-parser-20260511-142614,A,C,restraint,X
csv-parser,csv-parser::AvsC::csv-parser-20260511-142614_vs_csv-parser-20260511-151126,A,C,test_quality,X
csv-parser,csv-parser::AvsC::csv-parser-20260511-142614_vs_csv-parser-20260511-151126,A,C,design_quality,X
csv-parser,csv-parser::AvsC::csv-parser-20260511-142614_vs_csv-parser-20260511-151126,A,C,spec_adherence,X
csv-parser,csv-parser::AvsC::csv-parser-20260511-142614_vs_csv-parser-20260511-151126,A,C,restraint,Y
csv-parser,csv-parser::AvsC::csv-parser-20260511-142614_vs_csv-parser-20260511-153335,A,C,test_quality,X
csv-parser,csv-parser::AvsC::csv-parser-20260511-142614_vs_csv-parser-20260511-153335,A,C,design_quality,X
csv-parser,csv-parser::AvsC::csv-parser-20260511-142614_vs_csv-parser-20260511-153335,A,C,spec_adherence,X
csv-parser,csv-parser::AvsC::csv-parser-20260511-142614_vs_csv-parser-20260511-153335,A,C,restraint,Y
csv-parser,csv-parser::AvsC::csv-parser-20260511-151126_vs_csv-parser-20260511-142614,A,C,test_quality,X
csv-parser,csv-parser::AvsC::csv-parser-20260511-151126_vs_csv-parser-20260511-142614,A,C,design_quality,X
